text,label,label_desc,translation,MetricX24_Raw,MetricX24_Scaled_BATAYAN
i didnt feel humiliated,0,sadness,Hindi ako nadamaang nahihiya.,0.27764570713043213,98.88941717147827
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,sadness,Maaari akong lumipat mula sa pagiging lubos na walang pag-asa hanggang sa lubos na puno ng pag-asa lamang sa pamamagitan ng pagiging kasama ng isang taong nagmamalasakit at gising.,0.41727375984191895,98.33090496063232
im grabbing a minute to post i feel greedy wrong,3,anger,"Kukuha ako ng isang minuto para mag-post, parang may kasalanan akong nararamdaman.",0.4100438356399536,98.35982465744019
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,love,"Lagi akong nakakaramdam ng pag-nostalya tungkol sa kusinilya, alam kong ito ay nasa ari-arian pa rin.",0.3132496178150177,98.74700152873993
i am feeling grouchy,3,anger,Masama ang pakiramdam ko.,0.47664180397987366,98.0934327840805
ive been feeling a little burdened lately wasnt sure why that was,0,sadness,"Nararamdaman ko ng kaunti ang bigat lately, hindi ko alam kung bakit.",0.4778788685798645,98.08848452568054
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,4,fear,"Naku, kinukuha ko ang milligrams na sobra sa inirekomenda at mabilis akong natutulog, pero parang kakaiba rin ang pakiramdam ko.",0.38616201281547546,98.4553519487381
i feel as confused about life as a teenager or as jaded as a year old man,4,fear,Nararamdaman kong kasing-kalituhan tungkol sa buhay ng isang teenager o kasing-pagod ng isang matandang lalaki.,0.4040631651878357,98.38374733924866
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,joy,Matagal ko nang kasama ang Petronas at nararamdaman kong mabuti ang kanilang pagganap at nakakuha sila ng malaking kita.,0.3984980583190918,98.40600776672363
i feel romantic too,2,love,Nararamdaman ko rin ang pagiging romantiko.,0.36639082431793213,98.53443670272827
i feel like i have to make the suffering i m seeing mean something,0,sadness,Nararamdaman kong kailangan kong gawing may kahulugan ang pagdurusa na aking nakikita.,0.4292830526828766,98.2828677892685
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,joy,Nararamdaman ko na ang pagtakbo ay isang banal na karanasan at inaasahan kong magkakaroon ako ng uri ng espirituwal na pagkikita.,0.41092199087142944,98.35631203651428
i think it s the easiest time of year to feel dissatisfied,3,anger,"Sa tingin ko, ito ang pinakamadali na panahon sa taon para maramdaman ang kawalan ng kasiyahan.",0.45161885023117065,98.19352459907532
i feel low energy i m just thirsty,0,sadness,"Nararamdaman kong mababa ang enerhiya ko, siguro gutom lang ako.",0.4470289349555969,98.21188426017761
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,joy,"May malaking empatiya ako sa pangkalahatang punto ngunit bilang isang posibleng baguhang manunulat na naghahanap ng oras upang sumulat sa mga sulok ng buhay at walang senyales ng ahente pa man, lalo na ng kontrata sa paglalathala, ito ay parang medyo mahalaga.",0.41526180505752563,98.3389527797699
i do not feel reassured anxiety is on each side,1,joy,"Hindi ako nakakaramdam ng kapayapaan, ang pangamba ay nasa bawat panig.",0.4361479878425598,98.25540804862976
i didnt really feel that embarrassed,0,sadness,Hindi ko talaga naramdaman ang kahihiyan.,0.4226994812488556,98.30920207500458
i feel pretty pathetic most of the time,0,sadness,"Karamihan sa oras, nararamdaman kong medyo kaawa-awa.",0.3567628860473633,98.57294845581055
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,sadness,Nagsimula akong ma-sentimental tungkol sa mga manika noong bata ako kaya nagsimula akong mag-kolekta ng mga vintage Barbie dolls mula sa mga sixties.,0.3140631914138794,98.74374723434448
i now feel compromised and skeptical of the value of every unit of work i put in,4,fear,"Ngayon, nararamdaman kong nasisira ang aking tiwala at nag-aalinlangan ako sa halaga ng bawat gawain na aking ginagawa.",0.44844910502433777,98.20620357990265
