text,label,label_desc
i remember driving home and arriving home feeling very mournful,0,sadness
i currently am feeling rotten with some sort of illness not exactly what i had hoped for in my small amount of time back home but hey ho,0,sadness
im feeling quite disillusioned about my weighins,0,sadness
i feel that this kind of website would be amazing for learning purposes in which it already does provide the viewer with knowledge regarding the history of paris,1,joy
i dont know why i feel so unsure aout things and especially people,4,fear
i know it signifies him feeling not dangerous secure and relaxed so i don t guess it is causing him any undue stress,3,anger
i not feel like going shopping afterward i was groggy and felt like a stuffed pig,0,sadness
i always feel slightly embarrassed,0,sadness
i feel a longing for i have no idea what if it was ever even there,2,love
i still feel defeated,0,sadness
i feel a remembrance of the strange by justin aryiku falls into the latter category,4,fear
i start an aimless internet search when im feeling curious,4,fear
i thought that was the end of it but a few minutes ago i got off the couch and felt so hot and sore and soft yknow when you have a fever how your body just feels really tender,2,love
i was feeling more appreciative,1,joy
i was so stubborn and that it took you getting hurt for me to admit even to myself how i feel i haven t been very considerate of you in that respect,2,love
i have never really had luck with them so im feeling a bit jaded,0,sadness
i feel so guilty,0,sadness
i feel like i should be more bothered by this topic but for some reason im sor,3,anger
i was back at the gym doubling up on classes and feeling quite well not perfect but nowhere near how i was earlier in the year,1,joy
i feel the word rich is accurate to describe texture and color payoff,1,joy
i am not going to wake up with a fucking headache like almost every day this week i am not going to feel needy and grabby and insecure like almost every day this week i am not going to be mean to myself like almost every day this week,0,sadness
i feel so strange sitting here blogging away amp not having to study,4,fear
im feeling generous i might let them bring the dog with em otherwise the animals are on their own,1,joy
i really feel regretful when hearing that shinae got married to another man oh it s really sad i really hope that alex and shinae can be a couple in real life they re perfect for each other,0,sadness
i and fans cheering for penn state made me feel such a strong sense of belonging to the penn state family,1,joy
i feel dismayed at how many people get stuck on a do it yourself salvation mentality,0,sadness
i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while,4,fear
i feel myself redden my manhood has been insulted and it demands satisfaction,3,anger
i know i can do it and in fact that i will but i feel terrified that the stories won t be as good as they could be and that any readers that i can actually convince to buy the book will read it and hate it and never want to read anything by me again,4,fear
im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,4,fear
i feel so thrilled to share with my fans because lots of my songs are inspiring,1,joy
i feel disappointed because i spent time on it and do something differently to create an interesting composition,0,sadness
i feel quite lucky to have stumbled upon it,1,joy
i feel so angry that cancer is slowly killing my dad,3,anger
i hope mine goes well again because at the moment i m unfortunately feeling a bit resentful with the aftermath of the holidays,3,anger
i feel more determined than ever to not just help people facing these challenges but do my part to change the infrastructure of our society as a whole so this cycle of inequality is put to an end,1,joy
i feel creatively inspired,1,joy
i will soon start to feel like me again i liked her and i miss her,2,love
i am strong because i am weak knowing this about yourself would surely improve yourself as a person its something id like to know about myself and everyone else and feel it would be worthwhile in pursuing,1,joy
i feel super good,1,joy
i inspired but i came away feeling rejuvenated and invigorated,1,joy
i still feel very emo but its now a bouncy butterflies in my tummy everythings gonna be ok kinda email rather than a feeling shitty emo so,1,joy
in a dam lake,4,fear
id fancy or feel particularly delicious about either,1,joy
i feel so dirty,0,sadness
i feel regretful ashamed and embarrased of evey single thing ive ever done i cant think of anything im proud of,0,sadness
im feeling jolly but at the same time im feeling down nao,1,joy
i feel more confident and have to think less about what i say on the days i avoid english and read french grammar in the morning,1,joy
i feel fond toward though they may not realize it,2,love
i feel more self assured with making the decision to move to la and try to get to the point where i am directing films,1,joy
i feel a loss for the precious lives that were taken so mercilessly an abominable side effect of what happens when those among us hate,1,joy
i need to learn to have to feel this much pain and suffering,0,sadness
i remember feeling impatient with her and even struggling to like her at times,3,anger
i will stop and consider where my meal has come from not just some of the time when i m feeling virtuous but every time i sit down to eat,1,joy
i feel i ve had years of being told i m intelligent,1,joy
i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,0,sadness
i woke up this morning to a text from mr c declaring he was walking to work as he typed miles and was therefore feeling virtuous,1,joy
i climbed over that day and awful hump and i feel fabulous,1,joy
i continued to feel this way for the next couple weeks until i convinced myself i should just take a pregnancy test to be sure,1,joy
i am going to be happy today i am going to enjoy feeling excited about life joyful eager knowing and empowered,1,joy
i feel in retrospect if i have the ability to think back that all this history stuff and the miles upon miles of newsprint that has carried my feature articles impressed and impacted the readership the way it was intended,4,fear
i am used to being let down and feeling rejected by guys,0,sadness
i feel so blessed and grateful that i could let go of something so painful on one hand and open myself up to something even more amazing on the other,1,joy
i remember what this feels like from a fan perspective because i lived in chicago all through the michael jordan chicago bulls era and i still have fond memories of those days but today belongs to the celtics and i tip my cap to them,2,love
i am happy to see that he is off with hopefully a good job but i can t help feel a little greedy,3,anger
i feel joyful inside,1,joy
i feel the pull of gravity the temperature of the sun and the air i smell the earth and the air and feel the pleasant tug at my muscles,1,joy
i love the way it feels i love its permanence i love the nostalgic feeling of keys under my fingertips,2,love
i would feel sometimes still feel a longing and a desire to come closer feel the old oak trees walk the old trails listen to the quiet smell the wild bushes,2,love
im sure anyone whos seen someone close go through this process you feel entirely useless in this situation not being able to take away any of the troubles or ailments,0,sadness
i know that sounds really recycled and generic but its actually how i feel i love to sing and would more than love to make a living doing that but im going to school because i know that its not in the cards for all the talented people in the world to make it in the music business,1,joy
i did feel pretty cool when my wifes coworkers showed her the design on pinterest and she said my husband was the designer,1,joy
i was tired of feeling helpless and wanted to take control of the situation,0,sadness
im feeling overwhelmed,4,fear
i lost a close friend,0,sadness
i leave feeling challenged and eager to study the word more not looking for the holy spirit to give me another experience or confused not just about what happend but confused about scripture,1,joy
i visited finland a couple of weeks ago and albeit it was wonderful and extremely refreshing to be back in my hometown for the first time in four weeks after spending only a few days there i begun to feel slightly homesick homesick for tallinn,0,sadness
i feel the need to pimp this since raini my beloved rocky casting director loves it so much,2,love
i promised myself that i wont enter anymore giveaways because i feel greedy but i couldnt resist this one,3,anger
im so excited but feeling scared too,4,fear
i hate to feel devastated so much so that i have an unhealthy habit of suppressing my feelings,0,sadness
i need some to hold me to hug me like they love me really love me to be there in quiet to just sit to be there just to stop me doing something stupid it cant be my parents cos i know id just run i cant run from other people i feel rude,3,anger
i feel very happy each time i saw him,1,joy
i always feel horny nowadays,2,love
i woke up yesterday morning wondering if i had hurt my mommys feelings and just had this horrible feeling in my stomach and horrible chest pains,0,sadness
i want him to feel emotional pain,0,sadness
i have trouble not focusing on it not feeling it all throughout the day because i know he s suffering and i know my mom is suffering in a whole other way,0,sadness
im feeling a little apprehensive about it because i feel like im suddenly way too old compared to my mental age of about,4,fear
i feel ugly to my fellow humans,0,sadness
i feel so utterly humiliated and at the same time humbled by the goodness of her heart,0,sadness
