text,label,label_desc,translation
i didnt feel humiliated,0,sadness,Hindi ako nadamaang nahihiya.
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,sadness,Maaari akong lumipat mula sa pagiging lubos na walang pag-asa hanggang sa lubos na puno ng pag-asa lamang sa pamamagitan ng pagiging kasama ng isang taong nagmamalasakit at gising.
im grabbing a minute to post i feel greedy wrong,3,anger,"Kukuha ako ng isang minuto para mag-post, parang may kasalanan akong nararamdaman."
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,love,"Lagi akong nakakaramdam ng pag-nostalya tungkol sa kusinilya, alam kong ito ay nasa ari-arian pa rin."
i am feeling grouchy,3,anger,Masama ang pakiramdam ko.
ive been feeling a little burdened lately wasnt sure why that was,0,sadness,"Nararamdaman ko ng kaunti ang bigat lately, hindi ko alam kung bakit."
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,4,fear,"Naku, kinukuha ko ang milligrams na sobra sa inirekomenda at mabilis akong natutulog, pero parang kakaiba rin ang pakiramdam ko."
i feel as confused about life as a teenager or as jaded as a year old man,4,fear,Nararamdaman kong kasing-kalituhan tungkol sa buhay ng isang teenager o kasing-pagod ng isang matandang lalaki.
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,joy,Matagal ko nang kasama ang Petronas at nararamdaman kong mabuti ang kanilang pagganap at nakakuha sila ng malaking kita.
i feel romantic too,2,love,Nararamdaman ko rin ang pagiging romantiko.
i feel like i have to make the suffering i m seeing mean something,0,sadness,Nararamdaman kong kailangan kong gawing may kahulugan ang pagdurusa na aking nakikita.
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,joy,Nararamdaman ko na ang pagtakbo ay isang banal na karanasan at inaasahan kong magkakaroon ako ng uri ng espirituwal na pagkikita.
i think it s the easiest time of year to feel dissatisfied,3,anger,"Sa tingin ko, ito ang pinakamadali na panahon sa taon para maramdaman ang kawalan ng kasiyahan."
i feel low energy i m just thirsty,0,sadness,"Nararamdaman kong mababa ang enerhiya ko, siguro gutom lang ako."
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,joy,"May malaking empatiya ako sa pangkalahatang punto ngunit bilang isang posibleng baguhang manunulat na naghahanap ng oras upang sumulat sa mga sulok ng buhay at walang senyales ng ahente pa man, lalo na ng kontrata sa paglalathala, ito ay parang medyo mahalaga."
i do not feel reassured anxiety is on each side,1,joy,"Hindi ako nakakaramdam ng kapayapaan, ang pangamba ay nasa bawat panig."
i didnt really feel that embarrassed,0,sadness,Hindi ko talaga naramdaman ang kahihiyan.
i feel pretty pathetic most of the time,0,sadness,"Karamihan sa oras, nararamdaman kong medyo kaawa-awa."
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,sadness,Nagsimula akong ma-sentimental tungkol sa mga manika noong bata ako kaya nagsimula akong mag-kolekta ng mga vintage Barbie dolls mula sa mga sixties.
i now feel compromised and skeptical of the value of every unit of work i put in,4,fear,"Ngayon, nararamdaman kong nasisira ang aking tiwala at nag-aalinlangan ako sa halaga ng bawat gawain na aking ginagawa."
i feel irritated and rejected without anyone doing anything or saying anything,3,anger,Nararamdaman kong nainis at tinatanggihan kahit walang ginagawa o sinasabi ng kahit sino.
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,fear,"Napakarami kong nararamdaman ngayon, parang nababalot ako. Dalawang bagay ang tumutulong sa akin para makalimutan ang lahat: isulat ang lahat ng aking nararamdaman sa journal ko parang sulat kay Diyos, at saka matapos iyon, isulat ang limang bagay na aking pinaka-pasalamat."
i have the feeling she was amused and delighted,1,joy,Nararamdaman kong siya ay nasiyahan at natutuwa.
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,joy,"Nakaramdam ako ng kasiyahan dahil sa inyong suporta at pag-uudyok, nakakatulong ako sa Chai Lifeline. Masaya akong nakatulong din kayo sa akin."
i already feel like i fucked up though because i dont usually eat at all in the morning,3,anger,Nararamdaman ko na nagkamali ako dahil hindi ako sanay kumain ng agahan.
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,sadness,"Mahal ko pa rin ang aking kasintahan at sana'y ang pinakamabuti ang maidulot sa kanya. Hindi ko na kayang tiisin ang epekto ng BM sa ating buhay at ang katotohanang ito'y nagpabago sa aking kasintahan, naging mapait at galit siya, at hindi palaging mapagkumbaba sa mga taong nasa paligid niya kapag stressed siya."
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,sadness,"Nararamdaman kong napakakulong sa kusina ng iba, parang pinagpipinta ko ang larawan ng iba."
i become overwhelmed and feel defeated,0,sadness,Nababalot ako ng pagod at nadarama kong natatalo.
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,anger,Nakakagulat na parang kailangan niyang ipaliwanag nang detalyado ang kanyang mga sukat ng katawan at iba pa.
i feel more superior dead chicken or grieving child,1,joy,Mas nararamdaman kong mas mataas ako kaysa sa patay na manok o umiiyak na bata.
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,joy,Nakakakilig sa akin ang pakiramdam na elegante sa isang perpektong sukat na pencil skirt.
i remember feeling acutely distressed for a few days,4,fear,Naalala ko ang matinding pagkabalisa na naramdaman ko nang ilang araw.
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,4,fear,"Sa nakalipas na ilang araw, nakita, narinig, at nabasa ko; at naiwan akong naantig ng pagpapahalaga sa higit sa ilang mga kompanya."
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,anger,Umakyat ako sa burol habang nararamdaman ang pagkabigo dahil halos mali ang aking paglalakad sa buong kurso at isang bagay na hindi ko kailanman naranasan na maging hadlang ay nagdulot ng malaking epekto sa araw.
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,joy,"Hindi ko maisip ang isang tunay na sitwasyon sa buhay kung saan magkakaroon ako ng sapat na emosyonal na koneksyon sa isang tao upang maramdaman ang ganap na pagtanggap at kaligtasan, kung saan moral na katanggap-tanggap para sa akin ang magkaroon ng malapit at matagal na pisikal na kontak at kung saan ang sekso ay hindi inaasahan pagkatapos."
i am not sure what would make me feel content if anything,1,joy,Hindi ko sigurado kung ano ang magpapasaya sa akin kung mayroon man.
i have been feeling the need to be creative,1,joy,Nararamdaman kong kailangan kong maging malikhain.
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,joy,"Gusto kong malaman mo na kung may tao o sitwasyon na nagpapakitang hindi ka nagniningning gaya ng dapat, lumayo ka sa kanila."
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,anger,"Nararamdaman kong medyo bastos na magsulat sa isang matandang ginoo para humingi ng regalo dahil parang makasarili ako, pero ano nga ba ang pasko kung hindi ang kaunting kasakiman."
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,joy,"Kailangan kita, kailangan ko ng isang tao, kailangan kong maprotektahan at maramdaman ang kaligtasan. Maliit ako ngayon, nakakahanap ako ng aking sarili sa panahon ng walang salita."
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,joy,"Plano kong ibahagi sa inyo ang mga kwento mula sa aking pang-araw-araw na buhay, mga pakikipagsapalaran sa paglalakbay, mga inspirasyon, at mga gawang kamay, at sana'y kayo rin ay ma-inspire."
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,joy,"Mayroon na akong nakasabit na mga puno ng Pasko, dalawa, at nararamdaman ko ang saya ng kapaskuhan, siguro dahil dito, nagsisimula na akong magtrabaho sa aklat na ito."
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,joy,"Isinusuot ko ito minsan nang mag-isa kasama ng kaunting concealer, at sa mga araw na nagiging matapang ako ngunit ayaw kong mapanglaw, ito ay perpekto."
